source,source_entry,date_day,date_month,date_year,actor_id,actor_first_name,actor_surname,wikidata_name,place_of_birth,position_held,occupation,sex_or_gender,country_of_citizenship,wikidata_uri,role,role_en,role_en_reconciled,status,status_en,phase
BRGA818,1636,,,1636,2961,Jan,Bauwens,Jan Bauwens,,,journalist,male,Belgium,https://www.wikidata.org/wiki/Q3505653,member,member,member,dean,dean,start
BRGA818,1636,,,1636,5786,Severyn,Diertyts,"Severyn, Diertyts",,,,,,,member,member,member,dean,dean,start
BRGA818,1637,,,1637,5869,Cornelis,Van Bronckhorst,"Cornelis, Van Bronckhorst",,,,,,,member,member,member,dean,dean,start
BRGA818,1637,,,1637,472,Gillis,Leyniers,"Gillis, Leyniers",,,,,,,member,member,member,dean,dean,start
BRGA818,1637,,,1637,2854,Philips,Van der Elst,"Philips, Van der Elst",,,,,,,member,member,member,dean,dean,start
BRGA818,1638,,,1638,2902,Maximiliaen,Van der Elst,"Maximiliaen, Van der Elst",,,,,,,member,member,member,dean,dean,start
BRGA818,1638,,,1638,3146,Jan,Vaillant,Jan Vaillant,Lille,,painter,male,Netherlands,https://www.wikidata.org/wiki/Q4102462,member,member,painter,dean,dean,start
,,,,,,,,,,,engraver,,,,,,member,,,
,,,,,,,,,,,merchant,,,,,,member,,,
,,,,,,,,,,,etcher,,,,,,member,,,
BRGA818,1638,,,1638,2915,Lucas,De Kemp,"Lucas, De Kemp",,,,,,,member,member,member,dean,dean,start
BRGA818,1639,,,1639,2829,Antoon,Van Opstal,Anthony van Opstal,Antwerp,,painter,male,,https://www.wikidata.org/wiki/Q90405764,member,member,painter,dean,dean,start
BRGA818,1639,,,1639,2809,Peter,Van der Borcht,Pieter van der Borcht (III),City of Brussels,,painter,male,Southern Netherlands,https://www.wikidata.org/wiki/Q768316,member,member,painter,dean,dean,start
BRGA818,1639,,,1639,3150,Carel,Van den Steen,"Carel, Van den Steen",,,,,,,member,member,member,dean,dean,start
BRGA818,1640,,,1640,5777,Jan,Claerbodts,"Jan, Claerbodts",,,,,,,member,member,member,dean,dean,start
BRGA818,1640,,,1640,6060,Gillis,Van Blayenbergh,"Gillis, Van Blayenbergh",,,,,,,member,member,member,dean,dean,start
BRGA818,1640,,,1640,2786,Engel,Van den Bosch,"Engel, Van den Bosch",,,,,,,member,member,member,dean,dean,start
BRGA818,1641,,,1641,2838,Gerard,Van Hoochstadt,"Gerard, Van Hoochstadt",,,,,,,member,member,member,dean,dean,start
BRGA818,1641,,,1641,6084,Peter,Coppens,"Peter, Coppens",,,,,,,member,member,member,dean,dean,start
BRGA818,1641,,,1641,2961,Jan,Bauwens,Jan Bauwens,,,journalist,male,Belgium,https://www.wikidata.org/wiki/Q3505653,member,member,member,dean,dean,start
BRGA818,1642,,,1642,2838,Gerard,Van Hoochstadt,"Gerard, Van Hoochstadt",,,,,,,member,member,member,dean,dean,start
BRGA818,1642,,,1642,6084,Peter,Coppens,"Peter, Coppens",,,,,,,member,member,member,dean,dean,start
BRGA818,1642,,,1642,2961,Jan,Bauwens,Jan Bauwens,,,journalist,male,Belgium,https://www.wikidata.org/wiki/Q3505653,member,member,member,dean,dean,start
BRGA818,1643,,,1643,6523,Willem,Van Graenenbroeck,"Willem, Van Graenenbroeck",,,,,,,member,member,member,dean,dean,start
BRGA818,1643,,,1643,5786,Severyn,Diertyts,"Severyn, Diertyts",,,,,,,member,member,member,dean,dean,start
BRGA818,1643,,,1643,2976,Leo,Van Heil,Leo van Heil,City of Brussels,,painter,male,Southern Netherlands,https://www.wikidata.org/wiki/Q6524371,member,member,painter,dean,dean,start
,,,,,,,,,,,architect,,,,,,member,,,
,,,,,,,,,,,visual artist,,,,,,member,,,
